N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
157,TIGER 미국나스닥100,"83,550",565,-0.67%,0,"18,314","21,920",0.01,"185,805",N/A,N/A,
158,TIGER MSCI Korea TR,"15,970",90,+0.57%,0,"17,934","112,300",14.25,"1,131",N/A,N/A,
159,LS,"54,000",700,-1.28%,"5,000","17,388","32,200",13.96,"62,391",6.78,3.94,
160,대웅,"29,550",100,-0.34%,500,"17,181","58,142",4.39,"43,568",16.27,15.10,
161,JB금융지주,"8,710",110,+1.28%,"5,000","17,157","196,983",41.97,"1,021,449",3.59,10.06,
162,현대백화점,"73,000",0,0.00%,"5,000","17,084","23,402",17.96,"48,818",11.04,1.65,
163,한미반도체,"34,450",800,-2.27%,200,"17,039","49,460",6.38,"291,023",20.48,21.03,
164,HDC현대산업개발,"25,750",50,-0.19%,"5,000","16,971","65,907",10.18,"548,473",5.60,8.85,
165,동국제강,"17,650",150,-0.84%,"5,000","16,844","95,433",22.29,"784,951",3.73,3.35,
166,오뚜기,"452,500","10,500",-2.27%,"5,000","16,616","3,672",11.68,"3,832",15.02,7.93,
167,대웅제약,"141,500","3,000",-2.08%,"2,500","16,395","11,587",6.47,"21,965",142.07,2.38,
168,DGB금융지주,"9,680",50,-0.51%,"5,000","16,373","169,146",48.91,"723,122",3.46,6.93,
169,KODEX 단기채권,"103,120",5,0.00%,0,"16,365","15,870",0.00,"15,202",N/A,N/A,
170,현대엘리베이,"39,900",600,-1.48%,"5,000","16,285","40,815",28.42,"173,594",25.71,9.78,
171,LS ELECTRIC,"54,100","1,100",-1.99%,"5,000","16,230","30,000",17.84,"92,824",20.03,6.15,
172,한전KPS,"35,850",450,-1.24%,200,"16,132","45,000",6.65,"213,172",13.35,8.23,
173,신풍제약,"29,050",350,+1.22%,500,"15,392","52,985",10.38,"773,583","4,841.67",1.72,
174,한일시멘트,"22,200",200,+0.91%,500,"15,376","69,262",2.89,"1,744,409",14.62,N/A,
175,KODEX 삼성그룹,"9,705",20,-0.21%,0,"15,179","156,400",0.19,"119,218",N/A,N/A,
176,동원시스템즈,"51,900","1,000",-1.89%,"5,000","15,149","29,188",13.26,"36,397",23.51,10.97,
177,PI첨단소재,"50,800",200,-0.39%,500,"14,918","29,366",12.92,"99,643",25.50,15.62,
178,명신산업,"27,900",0,0.00%,500,"14,639","52,470",2.46,"231,668",-12.10,-67.39,
179,LIG넥스원,"66,500",700,+1.06%,"5,000","14,630","22,000",7.05,"263,301",15.50,8.86,
180,에스엘,"30,150",650,-2.11%,500,"14,533","48,203",15.13,"148,269",10.00,4.74,
181,KODEX 종합채권(AA-이상)액티브,"107,310",50,+0.05%,0,"14,399","13,418",0.00,"6,904",N/A,N/A,
182,대한전선,"1,675",35,-2.05%,500,"14,346","856,473",2.73,"4,904,263",42.95,0.92,
183,한국앤컴퍼니,"14,700",350,-2.33%,500,"13,955","94,935",9.59,"115,990",5.64,5.08,
184,아시아나항공,"18,700",200,-1.06%,"5,000","13,915","74,412",7.61,"306,701",-3.22,-43.83,
185,아이에스동서,"45,000","1,000",-2.17%,500,"13,902","30,893",5.25,"108,357",25.77,10.92,
186,TIGER 단기통안채,"100,530",0,0.00%,0,"13,810","13,737",0.89,"7,076",N/A,N/A,
187,DL,"65,800",300,-0.45%,"5,000","13,789","20,956",12.11,"77,566",2.09,11.84,
188,케이카,"28,300",50,-0.18%,500,"13,608","48,087",18.45,"139,512",47.01,15.11,
189,현대두산인프라코어,"6,880",120,-1.71%,"1,000","13,583","197,435",10.42,"1,521,567",5.89,6.47,
190,롯데렌탈,"36,400",350,-0.95%,"5,000","13,335","36,634",1.51,"92,084",12.62,6.73,
191,롯데리츠,"5,470",0,0.00%,500,"13,290","242,969",9.60,"162,944",34.19,1.68,
192,ESR켄달스퀘어리츠,"6,220",10,+0.16%,"1,000","13,254","213,089",32.20,"174,700",163.68,1.14,
193,금호타이어,"4,515",5,-0.11%,"5,000","12,970","287,260",4.19,"277,520",-18.06,-6.74,
194,롯데칠성,"137,500",500,+0.36%,500,"12,758","9,279",9.05,"16,783",16.25,-1.00,
195,태광산업,"1,135,000","21,000",-1.82%,"5,000","12,637","1,113",5.84,"1,057",4.98,3.26,
196,진원생명과학,"16,200",300,-1.82%,"1,000","12,552","77,479",12.56,"665,024",-48.94,-30.43,
197,KODEX 2차전지산업,"21,395",90,-0.42%,0,"12,516","58,500",1.49,"1,003,973",N/A,N/A,
198,TIGER 미국테크TOP10 INDXX,"12,605",45,-0.36%,0,"12,372","98,150",0.21,"2,495,046",N/A,N/A,
199,F&F홀딩스,"31,600",450,-1.40%,500,"12,360","39,114",0.73,"65,287",0.26,16.59,
200,대한유화,"188,000","5,500",-2.84%,"5,000","12,220","6,500",12.55,"35,658",5.85,6.93,
